filename,data_type,temperature_2m,wind_u_2m,wind_v_2m,surface_pressure,precipitable_water,total_ozone,longitude,latitude,time
3B-HHR-L.MS.MRG.3IMERG.20250521-S223000-E225959.1350.V07B.HDF5,IMERG,,,,,,,,,
3B-HHR-L.MS.MRG.3IMERG.20250520-S173000-E175959.1050.V07B.HDF5,IMERG,,,,,,,,,
3B-HHR-L.MS.MRG.3IMERG.20250522-S040000-E042959.0240.V07B.HDF5,IMERG,,,,,,,,,
MERRA2_400.tavg1_2d_slv_Nx.20250521.nc4,MERRA2,210.33734,5.516562,1.0475523,67856.125,0.16747752,290.50116,-180.0,-90.0,2025-05-21 00:30:00
MERRA2_400.tavg1_2d_slv_Nx.20250521.nc4,MERRA2,210.33734,5.530234,1.1239684,67856.125,0.16747752,290.50116,-179.375,-89.5,2025-05-21 01:30:00
MERRA2_400.tavg1_2d_slv_Nx.20250521.nc4,MERRA2,210.33734,5.5419526,1.2005332,67856.125,0.16747752,290.50116,-178.75,-89.0,2025-05-21 02:30:00
MERRA2_400.tavg1_2d_slv_Nx.20250521.nc4,MERRA2,210.33734,5.5556245,1.2772887,67856.125,0.16747752,290.50116,-178.125,-88.5,2025-05-21 03:30:00
MERRA2_400.tavg1_2d_slv_Nx.20250521.nc4,MERRA2,210.33734,5.5692964,1.354193,67856.125,0.16747752,290.50116,-177.5,-88.0,2025-05-21 04:30:00
MERRA2_400.tavg1_2d_slv_Nx.20250521.nc4,MERRA2,210.33734,5.582968,1.4313414,67856.125,0.16747752,290.50116,-176.875,-87.5,2025-05-21 05:30:00
MERRA2_400.tavg1_2d_slv_Nx.20250521.nc4,MERRA2,210.33734,5.594687,1.5086119,67856.125,0.16747752,290.50116,-176.25,-87.0,2025-05-21 06:30:00
MERRA2_400.tavg1_2d_slv_Nx.20250521.nc4,MERRA2,210.33734,5.608359,1.5861266,67856.125,0.16747752,290.50116,-175.625,-86.5,2025-05-21 07:30:00
MERRA2_400.tavg1_2d_slv_Nx.20250521.nc4,MERRA2,210.33734,5.6200776,1.6638854,67856.125,0.16747752,290.50116,-175.0,-86.0,2025-05-21 08:30:00
MERRA2_400.tavg1_2d_slv_Nx.20250521.nc4,MERRA2,210.33734,5.6337495,1.7418883,67856.125,0.16747752,290.50116,-174.375,-85.5,2025-05-21 09:30:00
MERRA2_400.tavg1_2d_slv_Nx.20250521.nc4,MERRA2,210.33734,5.645468,1.8200133,67856.125,0.16747752,290.50116,-173.75,-85.0,2025-05-21 10:30:00
MERRA2_400.tavg1_2d_slv_Nx.20250521.nc4,MERRA2,210.33734,5.65914,1.8983824,67856.125,0.16747752,290.50116,-173.125,-84.5,2025-05-21 11:30:00
MERRA2_400.tavg1_2d_slv_Nx.20250521.nc4,MERRA2,210.33734,5.670859,1.9772398,67856.125,0.16747752,290.50116,-172.5,-84.0,2025-05-21 12:30:00
MERRA2_400.tavg1_2d_slv_Nx.20250521.nc4,MERRA2,210.33734,5.6845307,2.0560973,67856.125,0.16747752,290.50116,-171.875,-83.5,2025-05-21 13:30:00
MERRA2_400.tavg1_2d_slv_Nx.20250521.nc4,MERRA2,210.33734,5.6962495,2.1351988,67856.125,0.16747752,290.50116,-171.25,-83.0,2025-05-21 14:30:00
MERRA2_400.tavg1_2d_slv_Nx.20250521.nc4,MERRA2,210.33734,5.7099214,2.2147887,67856.125,0.16747752,290.50116,-170.625,-82.5,2025-05-21 15:30:00
MERRA2_400.tavg1_2d_slv_Nx.20250521.nc4,MERRA2,210.33734,5.72164,2.2943785,67856.125,0.16747752,290.50116,-170.0,-82.0,2025-05-21 16:30:00
MERRA2_400.tavg1_2d_slv_Nx.20250521.nc4,MERRA2,210.33734,5.733359,2.3744566,67856.125,0.16747752,290.50116,-169.375,-81.5,2025-05-21 17:30:00
MERRA2_400.tavg1_2d_slv_Nx.20250521.nc4,MERRA2,210.33734,5.7450776,2.4545348,67856.125,0.16747752,290.50116,-168.75,-81.0,2025-05-21 18:30:00
MERRA2_400.tavg1_2d_slv_Nx.20250521.nc4,MERRA2,210.33734,5.7567964,2.5351012,67856.125,0.16747752,290.50116,-168.125,-80.5,2025-05-21 19:30:00
MERRA2_400.tavg1_2d_slv_Nx.20250521.nc4,MERRA2,210.33734,5.770468,2.6156676,67856.125,0.16747752,290.50116,-167.5,-80.0,2025-05-21 20:30:00
MERRA2_400.tavg1_2d_slv_Nx.20250521.nc4,MERRA2,210.33734,5.782187,2.6967223,67856.125,0.16747752,290.50116,-166.875,-79.5,2025-05-21 21:30:00
MERRA2_400.tavg1_2d_slv_Nx.20250521.nc4,MERRA2,210.33734,5.7939057,2.7782652,67856.125,0.16747752,290.50116,-166.25,-79.0,2025-05-21 22:30:00
MERRA2_400.tavg1_2d_slv_Nx.20250521.nc4,MERRA2,210.33734,5.8056245,2.8598082,67856.125,0.16747752,290.50116,-165.625,-78.5,2025-05-21 23:30:00
MERRA2_400.tavg1_2d_slv_Nx.20250521.nc4,MERRA2,210.33734,5.817343,2.9418395,67856.125,0.16747752,290.50116,-165.0,-78.0,
MERRA2_400.tavg1_2d_slv_Nx.20250521.nc4,MERRA2,210.33734,5.829062,3.024359,67856.125,0.16747752,290.50116,-164.375,-77.5,
MERRA2_400.tavg1_2d_slv_Nx.20250521.nc4,MERRA2,210.33734,5.8407807,3.1068785,67856.125,0.16747752,290.50116,-163.75,-77.0,
MERRA2_400.tavg1_2d_slv_Nx.20250521.nc4,MERRA2,210.33734,5.8524995,3.189398,67856.125,0.16747752,290.50116,-163.125,-76.5,
MERRA2_400.tavg1_2d_slv_Nx.20250521.nc4,MERRA2,210.33734,5.862265,3.2728941,67856.125,0.16747752,290.50116,-162.5,-76.0,
MERRA2_400.tavg1_2d_slv_Nx.20250521.nc4,MERRA2,210.33734,5.873984,3.355902,67856.125,0.16747752,290.50116,-161.875,-75.5,
MERRA2_400.tavg1_2d_slv_Nx.20250521.nc4,MERRA2,210.33734,5.8857026,3.4398863,67856.125,0.16747752,290.50116,-161.25,-75.0,
MERRA2_400.tavg1_2d_slv_Nx.20250521.nc4,MERRA2,210.33734,5.8974214,3.5238707,67856.125,0.16747752,290.50116,-160.625,-74.5,
MERRA2_400.tavg1_2d_slv_Nx.20250521.nc4,MERRA2,210.33734,5.907187,3.6088316,67856.125,0.16747752,290.50116,-160.0,-74.0,
MERRA2_400.tavg1_2d_slv_Nx.20250521.nc4,MERRA2,210.33734,5.9189057,3.692816,67856.125,0.16747752,290.50116,-159.375,-73.5,
MERRA2_400.tavg1_2d_slv_Nx.20250521.nc4,MERRA2,210.33734,5.9286714,3.777777,67856.125,0.16747752,290.50116,-158.75,-73.0,
MERRA2_400.tavg1_2d_slv_Nx.20250521.nc4,MERRA2,210.33734,5.94039,3.8637145,67856.125,0.16747752,290.50116,-158.125,-72.5,
MERRA2_400.tavg1_2d_slv_Nx.20250521.nc4,MERRA2,210.33734,5.9501557,3.9486754,67856.125,0.16747752,290.50116,-157.5,-72.0,
MERRA2_400.tavg1_2d_slv_Nx.20250521.nc4,MERRA2,210.33734,5.9618745,4.0346127,67856.125,0.16747752,290.50116,-156.875,-71.5,
MERRA2_400.tavg1_2d_slv_Nx.20250521.nc4,MERRA2,210.33734,5.967734,4.113714,67856.125,0.16747752,290.50116,-156.25,-71.0,
MERRA2_400.tavg1_2d_slv_Nx.20250521.nc4,MERRA2,210.33734,5.9482026,4.149847,67856.125,0.16747752,290.50116,-155.625,-70.5,
MERRA2_400.tavg1_2d_slv_Nx.20250521.nc4,MERRA2,210.33734,5.9286714,4.18598,67856.125,0.16747752,290.50116,-155.0,-70.0,
MERRA2_400.tavg1_2d_slv_Nx.20250521.nc4,MERRA2,210.33734,5.90914,4.2221127,67856.125,0.16747752,290.50116,-154.375,-69.5,
MERRA2_400.tavg1_2d_slv_Nx.20250521.nc4,MERRA2,210.33734,5.889609,4.2582455,67856.125,0.16747752,290.50116,-153.75,-69.0,
MERRA2_400.tavg1_2d_slv_Nx.20250521.nc4,MERRA2,210.33734,5.8700776,4.2943783,67856.125,0.16747752,290.50116,-153.125,-68.5,
MERRA2_400.tavg1_2d_slv_Nx.20250521.nc4,MERRA2,210.33734,5.8505464,4.3314877,67856.125,0.16747752,290.50116,-152.5,-68.0,
MERRA2_400.tavg1_2d_slv_Nx.20250521.nc4,MERRA2,210.33734,5.831015,4.3676205,67856.125,0.16747752,290.50116,-151.875,-67.5,
